name	term	lev	seq	value
"apical plasma membrane"	GO:0016324	2	Cluster16752	-0.193019130318542
"apical plasma membrane"	GO:0016324	2	Cluster36664	-0.504033408779033
"apical plasma membrane"	GO:0016324	2	Cluster4491	0.321101797401394
"apical plasma membrane"	GO:0016324	2	Cluster76755	-0.422927505924261
"apical plasma membrane"	GO:0016324	2	Cluster37916	-0.381553096447442
"apical plasma membrane"	GO:0016324	2	Cluster6054	-0.397392108225779
"apical plasma membrane"	GO:0016324	2	Cluster16110	0.0910535762935811
"apical plasma membrane"	GO:0016324	2	Cluster2415	-0.115584608365201
"apical plasma membrane"	GO:0016324	2	Cluster3734	-0.292694294720197
"apical plasma membrane"	GO:0016324	2	Cluster4900	0.387910102450886
"apical plasma membrane"	GO:0016324	2	Cluster32448	0.134056033453452
"apical plasma membrane"	GO:0016324	2	Cluster24075	0.386844525558385
"apical plasma membrane"	GO:0016324	2	Cluster27707	0.0258432973615929
"apical plasma membrane"	GO:0016324	2	Cluster15097	-0.22594572031274
"apical plasma membrane"	GO:0016324	2	Cluster6628	-0.353037865359274
"apical plasma membrane"	GO:0016324	2	Cluster5025	-0.462140408900366
"apical plasma membrane"	GO:0016324	2	Cluster15735	0.894815111899118
"apical plasma membrane"	GO:0016324	2	Cluster18849	-0.199971253171526
"apical plasma membrane"	GO:0016324	2	Cluster347288	-0.322368429415242
"apical plasma membrane"	GO:0016324	2	Cluster317650	0.440557985421633
"apical plasma membrane"	GO:0016324	2	Cluster11687	-0.186208098606367
"apical plasma membrane"	GO:0016324	2	Cluster5381	0.0498618129106121
"apical plasma membrane"	GO:0016324	2	Cluster401119	-0.36456188266809
"apical plasma membrane"	GO:0016324	2	Cluster349738	-0.0142709842307766
"microtubule organizing center part"	GO:0044450	2	Cluster40628	-0.49966726627981
"microtubule organizing center part"	GO:0044450	2	Cluster12722	0.57440170229421
"microtubule organizing center part"	GO:0044450	2	Cluster27803	0.161996093598001
"microtubule organizing center part"	GO:0044450	2	Cluster14663	-0.180026400117696
"microtubule organizing center part"	GO:0044450	2	Cluster24514	-0.257518460970286
"microtubule organizing center part"	GO:0044450	2	Cluster18581	0.185459772984177
"microtubule organizing center part"	GO:0044450	2	Cluster3230	-0.249975764960679
"microtubule organizing center part"	GO:0044450	2	Cluster8113	0.30519164589478
"microtubule organizing center part"	GO:0044450	2	Cluster48755	0.101941660245333
"microtubule organizing center part"	GO:0044450	2	Cluster107754	0.248468862408601
"microtubule organizing center part"	GO:0044450	2	Cluster3457	-0.299579708481346
"microtubule organizing center part"	GO:0044450	2	Cluster12649	-0.00472558695179509
"microtubule organizing center part"	GO:0044450	2	Cluster5814	0.4491255981459
"microtubule organizing center part"	GO:0044450	2	Cluster4265	0.400944264289239
"microtubule organizing center part"	GO:0044450	2	Cluster41750	0.39661958993544
"microtubule organizing center part"	GO:0044450	2	Cluster9971	-0.307488840434273
"microtubule organizing center part"	GO:0044450	2	Cluster568	0.305454266886184
"microtubule organizing center part"	GO:0044450	2	Cluster3233	0.195454986657516
"microtubule organizing center part"	GO:0044450	2	Cluster2962	-0.602472837947873
"microtubule organizing center part"	GO:0044450	2	Cluster1886	-0.615797633360598
"microtubule organizing center part"	GO:0044450	2	Cluster50540	0.412894901061218
